title,url
"2 bedroom maisonette to rent in Bedmond Road, Leverstock Green, Hemel Hempstead, HP3",http://www.rightmove.co.uk/property-to-rent/property-37882563.html
"2 bedroom apartment to rent in Ovaltine Drive,Kings Langley,WD4, WD4",http://www.rightmove.co.uk/property-to-rent/property-11888517.html
